Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	
Maz's Patrons	TFA	TFA149_Maz_s_Patrons	N	Ground	Crime Gang Pirate Squad	5	40	*	5	C	149		This unit's power is equal to the number of Crime Lords and Pirates you have in the Character arena. As long as Maz Kanata is in any arena, this unit gets Stealth.	
Medic Evacuation Unit	TFA	TFA150_Medic_Evacuation_Unit	L	Ground	Resistance Squad	5	50	2	5	C	150		Reserves: Tap -> Remove 1 damage counter from one of your Resistance units in the Ground or Character arena. Play only when no unit is attacking.	
Niima Outpost	TFA	TFA151_Niima_Outpost	N	Location	Ground - Jakku Desert Settlement	2				C	151		When your build step starts, you may remove a card from your discard pile from the game. If you do, gain 1 build point. | Each Scavenger costs 1 less build counter to deploy.	
NN-14 Blaster Pistol	TFA	TFA152_NN_14_Blaster_Pistol	N	Equipment	Character - Blaster Weapon	1				C	152		Pay 1 build point -> Equip | Equipped Character gets +1 power. | Equipped Scavenger or Smuggler also gets Lucky 1 and "Pay 0 Force -> Retaliate 1."	
Petty Officer Thanisson (A)	TFA	TFA153_Petty_Officer_Thanisson_A	D	Character	First Order Officer	5	30	3	4	C	153		Whenever your opponent would retreat a unit from the Spaca arena,  he or she must discard a card from his or her hand.	
Poe Dameron (C)	TFA	TFA154_Poe_Dameron_C	L	Character	Resistance Officer	6	40	5	5	C	154		Accuracy 1 | When you deploy Poe, you may search your deck for a Poe's Starfighter unit card. If you do, show it to your opponent and put it into your hand. Shuffle your deck.	
Quadjumper	TFA	TFA155_Quadjumper	N	Ground	Scavenger Transport	4	40	1	5	C	155		As long as this unit has no damage counters on it, it gets "Retreat this unit -> Prevent 1 damage to one of your Characters"	
Quiggold (A)	TFA	TFA156_Quiggold_A	N	Character	Gabdorin Pirate	4	30	4	4	C	156		When you deploy Quiggold, you may search your deck for a Transport unit card. If you do, show it to your opponent and put it into your hand. Shuffle your deck.	
R2-D2 (Q)	TFA	TFA157_R2_D2_Q	L	Character	Resistance Astromech Droid	4	20	1	3	C	157		Reserves: Tap -> Choose one: Gain 1 Force. Or:  Reveal a Luke Skywalker unit card from your hand to your opponent and put it into your build zone with 1 build counter on it. Play only during your build step.	
Rathtar	TFA	TFA158_Rathtar	N	Ground	Creature	6	50	6	5	C	158		This unit gets Fury 2 when attacking a non-Creature. | As long as you have another Creature in the Ground arena, this unit gets Critical Hit 2.	
Reconnaissance Squad	TFA	TFA159_Reconnaissance_Squad	D	Ground	First Order Stormtrooper Squad	6	50	5	4	C	159		Accuracy 1 | This unit can attack your opponent's units with Stealth.	
Resistance Fighters	TFA	TFA160_Resistance_Fighters	L	Ground	Resistance Squad	5	40	4	4	C	160		Stealth	
Rey (D)	TFA	TFA161_Rey_D	L	Character	Force Sensitive Scavenger	5	40	3	5	C	161		Each of your opponent's Apprentices and Force Sensitives in the Character arena can't use activated abilities. | Your opponent can't look at your hand.	
Rey's AT-AT Home	TFA	TFA162_Rey_s_AT_AT_Home	L	Location	Ground - Jakku Desert Home	1				C	162		When your build step starts, you may search your deck for a card with "Rey" in its name. If you do, show it to your opponent and put it into your hand. Shuffle your deck. | Rey gets Damage Control 1.	
Rey's First Steps	TFA	TFA163_Rey_s_First_Steps	L	Mission		3				C	163		Search your deck and/or discard pile for up to 3 Rey unit cards, show them to your opponent, and put them into your hand. Shuffle your deck.	
Riot Control Unit	TFA	TFA164_Riot_Control_Unit	D	Ground	First Order Stormtrooper Squad	5	40	4	4	C	164		Tap -> Tap one of your opponent's units in the Ground arena with one or more captivity counters on it.	
Roodown (A)	TFA	TFA165_Roodown_A	N	Character	Abednedo Scavenger	3	30	2	3	C	165		Remove Roodown from the Character arena from the game -> Draw 2 cards.	
Sarco Plank (A)	TFA	TFA166_Sarco_Plank_A	N	Character	Melitto Scavenger - Bounty Hunter	6	30	5	5	C	166		When your build step starts, you may take an Equipment card from your discard pile and put it into your deck. If you do, shuffle your deck.	
Snowtrooper Platoon	TFA	TFA167_Snowtrooper_Platoon	D	Ground	First Order Stormtrooper Arctic Squad	5	50	1	1	C	167		Critical Hit 1 | This unit gets +1 power and +1 health for each Arctic unit you have in any arena.	
Special Forces TIE Fighter	TFA	TFA168_Special_Forces_TIE_Fighter	D	Space	First Order Starfighter	5	60	3	3	C	168		This unit can have up to 2 Pilots. | Alternative Cost: Tap one of your First Order Capital Ships in the Space arena, discard 2 cards from your hand. | Accuracy 1 | Precision	
Starkiller Base Control Crew	TFA	TFA169_Starkiller_Base_Control_Crew	D	Character	First Order Soldier	4	30	3	3	C	169		Tap -> Gain 1 Force. Play only if you have Starkiller Base in any arena.	
Starkiller Base Hangar 718	TFA	TFA170_Starkiller_Base_Hangar_718	D	Location	Ground - First Order Facility	1				C	170		When your build step starts, you may search your deck for a First Order Space unit card. If you do, show it to your opponent and put it into your hand. Shuffle your deck.	
Starkiller Base Technician	TFA	TFA171_Starkiller_Base_Technician	D	Character	First Order Soldier	3	20	3	3	C	171		Each of Starkiller Base's activiated abilities costs 1 less Force to play. (Abilities that cost 1 or more Force can't cost less than 1 Force.)	
T-70 X-Wing Scout	TFA	TFA172_T_70_X_wing_Scout	L	Space	Resistance Starfighter	3	50	2	3	C	172		You can stack this card beneath one of your unique Resistance Squadrons. You can only have one copy of this card in that stack. This card can't be on top of that stack. Treat this card as part of that unit's stack. | As long as you have another Resistance unit in the Spaca arena, this unit gets "Pay 0 Force -> Intercept."	
Teedo (A)	TFA	TFA173_Teedo_A	N	Character	Teedo Scavenger	5	20	3	3	C	173		Remove a Droid unit card or an Equipment card from any discard pile from the game -> Your opponent rolls a die. If he or she rolls a 1, 2 or 3, gain 1 build point and draw a card. Play only during your build step.	
Thermal Oscillator	TFA	TFA174_Thermal_Oscillator	D	Location	Ground - First Order Facility	2				C	174		Treat this Location as if it has 4 health and when this Location has no remaining health, discard this Location. This Location can't be replaced. | During the Ground battle step, units can attack this Location as if it were a unit. | When your build step starts, choose one: Put 1 credit counter on Thermal Oscillator. Or: Remove X credit counters from Thermal Oscillator. Gain X Force.	
TIE Fighter Captain	TFA	TFA175_TIE_Fighter_Captain	D	Character	First Order Officer3	3	20	3	3	C	175		Starfighter Pilot. The Starfighter gets:  - +10 speed  - Accuracy 1  - If this unit does no damage this turn (after damage prevention), put 1 damage counter on it.	
TIE Space Superiority Fighter	TFA	TFA176_TIE_Space_Superiority_Fighter	D	Space/Ground	First Order Starfighter	3	60	2	2	C	176		Switch: Bombard 2/+1 power | This unit can have up to 2 Pilots. | Pay 0 Force -> Intercept	
Ventral Cannons	TFA	TFA177_Ventral_Cannons	N	Equipment	Space - Weapon Modification	1				C	177		Pay 2 build points -> Equip | Equipped Capital Ship or Fleet gets Critical Hit 2 and "Discard another Equipment attached to this unit -> This unit gets Accuracy 1 and Precision for this attack."	
Who Talks First	TFA	TFA178_Who_Talks_First	N	Battle						C	178		Pay 4 Force -> Choose one: Each of your units in the Character arena gets +30 speed until end of turn. Or: Each of your opponent's units in the Ground arena gets -30 speed until end of turn.	
Wounded	TFA	TFA179_Wounded	D	Mission		2				C	179		Each of your Characters gets +2 power when attacking a damaged Character until end of turn.	
Z6 Riot Control Baton	TFA	TFA180_Z6_Riot_Control_Baton	D	Equipment	Ground/Character - Melee Weapon	2				C	180		Pay 1 build point -> Equip | Equipped First Order Stormtrooper gets Stun 2. | Equipped FN-2199 also gets +2 power.	
Assault Trooper Squad	TFA	TFAsub_Assault_Trooper_Squad	D	Subordinate	Ground - First Order Stormtrooper Squad		50	4	2	S			Accuracy 1	
Elite Trooper Squad	TFA	TFAsub_Elite_Trooper_Squad	D	Subordinate	Ground - First Order Stormtrooper Squad		50	4	3	S			Accuracy 1	
Guavian Death Gang Enforcers	TFA	TFAsub_Guavian_Death_Gang_Enforcers	N	Subordinate	Ground/Character - Crime Gang Squad		50	3	3	S			Bala-Tik can't be attacked.	
T-70 X-Wing Starfighter	TFA	TFAsub_T_70_X_wing_Starfighter	L	Subordinate	Space/Ground - Resistance Starfighter		50	2	3	S			Switch: +1 power/Accuracy 1	
TIE Pursuit Team	TFA	TFAsub_TIE_Pursuit_Team	D	Subordinate	Space - First Order Squadron		60	3	3	S			Pay 1 Force -> Intercept	
Chewbacca (U) (Promo)	VP	VPpromo_Chewbacca_U	L	Character	New Republic Wookiee	7	40	7	7	R			Whenever one of your other Characters would be discarded from the Character arena, you may discard Chewbacca from the Character arena and remove him from the game instead. If you do, gain 2 Force, retreat that Character, and remove all damage counters from it.	
Finn Galfridian (B) (Promo)	VP	VPpromo_Finn_Galfridian_B	L	Character	New Republic Jedi Padawan	7	40	4	6	R			Each of your opponent's Yuuzhan Vong in the Ground and Character arena gets -10 speed, -1 power, and loses Stealth. | Tap -> Take 1 60/2/3 Prowl Subordinate with "Accuracy 1" and "Damage Control 2" and put it into the Character arena. Play only once per game. | Pay 2 Force -> Evade 2	
Fire Breathers (Promo)	VP	VPpromo_Fire_Breathers	Y	Ground	Yuuzhan Vong Creature Walker Squad	10	20	9	7	R			Armor | Damage from this unit can only be prevented by a Jedi. | Overkill	
Grutchins (Promo)	VP	VPpromo_Grutchins	Y	Equipment	Space - Biological Weapon	1				R			You can equip Grutchins to your opponent's Space units. Grutchins can't be detached. | Pay 2 build points -> Equip | Equipped Space unit gets "Upkeep: Put 1 damage counter on this unit or tap it." and "When this unit is discarded, remove Grutchins from the game."	
Han Solo (S) (Promo)	VP	VPpromo_Han_Solo_S	L	Character	New Republic Officer	7	50	4	5	R			Damage Control 2 | Whenever Han would be damaged, prevent up to 2 of that damage if Droma is in any arena. | Transport Pilot. The Transport gets:   - Damage Control 2  - Lucky 2	
Invasion Fleet (Promo)	VP	VPpromo_Invasion_Fleet	Y	Space	Yuuzhan Vong Fleet	16	10	15	15	R			Units in the Space arena can't retreat. | Units in the Space arena can't use Intercept. | Units in the Space arena can't tap or be tapped during the build step. | Whenever a unit in the Space arena can attack, it must do so. | Whenever a unit is deployed to the Space arena, each player may draw a card.	
Light in the Darkness (Promo)	VP	VPpromo_Light_in_the_Darkness	L	Battle						R			Pay 4 Force -> Choose one of your Light Side units in any arena. The chosen unit gets +2 power, Precision, and Double Strike until end of turn. Play only if the chosen unit is the only unit you have in that arena.	
Mara Jade Skywalker (I) (Promo)	VP	VPpromo_Mara_Jade_Skywalker_I	L	Character	New Republic 	8	60	4	5	R			As long as Luke Skywalker is in any arena, Mara gets Double Damage and Damage Control 2. | Tap -> Remove 1 counter of any type from one of your Characters. Play only during your build step. | Pay 5 Force -> Tap one of your opponent's Yuuzhan Vong in the Character arena. | Pay 2 Force -> Deflect 2| Pay 1 Force -> Retaliate 2	
Nina Galfridian (A) (Promo)	VP	VPpromo_Nina_Galfridian_A	L	Character	Artorian Queen - Independent Yuuzhan Vong	7	30	4	7	R			Damage Control 2 | Tap -> Each of your opponent's Yuuzhan Vong gets -2 power and Accuracy -1 until end of turn. Play only during your build step and only if you have a Refugee in any arena.	
Nom Anor (A) (Promo)	VP	VPpromo_Nom_Anor_A	Y	Character	Yuuzhan Vong Officer - Agent	8	40	6	5	R			Stealth | Nom can attack Characters in your opponent's build zone. | Tap -> Choose one: Disrupt an attack by a non-Jedi. Or: Disrupt a Battle card. Or:  Disrupt a Mission card. Or:  Disrupt a disrupt.	
Outer Rim Alliance Fleet (A) (Promo)	VP	VPpromo_Outer_Rim_Alliance_Fleet_A	L	Space	Independent Fleet	11	20	8	10	R			Precision | Outer Rim Alliance Fleet gets +1 power for each of your opponent's Yuuzhan Vong in any arena. | INSERT: Overkill	
Refugee Station (Promo)	VP	VPpromo_Refugee_Station	N	Space	Independent Refugee Fortification - Station	6	30	2	5	R			Whenever one of your units would be damaged by a Yuuzhan Vong, you may prevent all but 1 of that damage and retreat your unit. If you do, put 1 captivity counter on this unit. | As long as this unit has 3 or less captivity counters on it, it gets Stealth.	
Tsalok (A) (Promo)	VP	VPpromo_Tsalok_A	Y	Character	Yuuzhan Vong Officer	8	50	7	5	R			When the Character battle step starts, you may put 1 counter of any type on one of your opponent's Characters. If you do, put 1 damage counter on Tsalok. |  Tsalok gets Fury 3 when attacking a damaged unit or a unit with 1 or more captivity counter on it. | Avenge 4 (Whenever damage from an attacking unit causes one of your units in the same arena as Tsalok to be discarded, Tsalok may do 4 dice of damage to the attacking unit when the attack ends.)	
Tsavong Lah (A) (Promo)	VP	VPpromo_Tsavong_Lah_A	Y	Character	Yuuzhan Vong Officer	9	40	8	6	R			Fury 3 | Each of your other Yuuzhan Vong gets +2 power and "Whenever this unit attacks and does no damage (after damage prevention), put 2 damage counters on it."	
Wookiee Defiance (Promo)	VP	VPpromo_Wookiee_Defiance	L	Mission - Trap		X				R			When one of your Wookiees is discarded from any arena, do X dice of damage to each of your opponent's units in that arena. If the discarded Wookiee is Chewbacca, do 1 additional dice of damage to each of your opponent's units in that arena.	
Amphistaff Attack	VP	VP001_Amphistaff_Attack	Y	Battle						R	1		Remove 2 cards from your discard pile from the game -> Choose one of your opponent's Characters. This turn, the chosen Character loses Parry and can't use Deflect, Evade or Intercept.	
Anakin Solo (B)	VP	VP002_Anakin_Solo_B	L	Character	New Republic Jedi Knight	5	40	4	4	R	2		Lucky 2 | Pay 1 Force -> Deflect 1 | Squadron and Starfighter Pilot. The Squadron or Starfighter gets:  - Accuracy 1  - Lucky 2  - Pay 1 Force -> Intercept.	
Caled Galfridian (A)	VP	VP003_Caled_Galfridian_A	L	Character	Artorian King - Independent Officer	11	30	5	8	R	3		Inspiration | When you deploy Caled, you may search your deck for an Equipment card. If you do, show it to your opponent and put it into your build zone with 1 build counter on it. Shuffle your deck. | Each of your Squads gets +2 power and Fury 2 when attacking a Yuuzhan Vong.	
Centerpoint Station (A)	VP	VP004_Centerpoint_Station_A	N	Space	Independent Battle Station	14	10	0	20	R	4		Tap, Pay 2 Force -> Choose an arena and roll a die. If you roll a 1, discard one of your units from the chosen arena. If you roll a 2 or 3, discard one of your units and one of your opponent's units in the chosen arena. If you roll a 4 or 5, discard one of your opponent' s units from the chosen arena. If you roll a 6, discard all of your opponent's units from the chosen arena. Play only if you and your opponent each have a unit in the chosen arena and only when Centerpoint Station would attack.	
Chewbacca (U)	VP	VP005_Chewbacca_U	L	Character	New Republic Wookiee	7	40	7	7	R	5		Whenever one of your other Characters would be discarded from the Character arena, you may discard Chewbacca from the Character arena and remove him from the game instead. If you do, gain 2 Force, retreat that Character, and remove all damage counters from it.	
Collapse	VP	VP006_Collapse	N	Mission - Trap		2				R	6		When one of your Characters would do 4 or more damage (before damage prevention) to a defending unit, your opponent loses 2 Force and taps the defending unit.	
Corran Horn (C)	VP	VP007_Corran_Horn_C	L	Character	New Republic Jedi Master	7	50	6	6	R	7		Your opponent's Characters can't retreat. | Each of your opponent's Characters loses Precision. | Pay 1 Force -> Deflect 1 | Pay 1 Force -> Evade 1 | Pay 1 Force -> Intercept	
Da'Gara (A)	VP	VP008_Da'Gara_A	Y	Character	Yuuzhan Vong Officer	9	40	6	6	R	8		Stealth | When you deploy Da'Gara, take 1 60/4/2 Praetorite Vong Subordinate with "Accuracy 1" and "Precision" and put it into the Character arena. | Each of your other Yuuchan Vong in the Character arena gets +1 power.	
Da'Gara's Worldship (A)	VP	VP009_Da_Gara_s_Worldship_A	Y	Space	Yuuzhan Vong Capital Ship - Flagship	9	20	6	9	R	9		Shields 1 | Each of your other Yuuzhan Vong in the Space arena gets Shields 1. | Equipment costs 1 less build point to attach to Da'Gara's Worldship.	
Dovin Basal	VP	VP010_Dovin_Basal	Y	Equipment	Space - Biological Device	2				R	10		Pay 2 build points -> Equip | Equipped Space unit gets +10 speed, Shields 1, and "Whenever this unit attacks, the defending unit loses Shields for this attack." 	
Elan (A)	VP	VP011_Elan_A	Y	Character	Yuuzhan Vong Agent - Spy	5	40	4	4	R	11		Damage Control 2 | Stealth | Tap -> Put 1 counter of any type on one of your opponent's Characters. Your opponent loses 1 Force. Play only when Elan would attack.	
Finn Galfridian (A)	VP	VP012_Finn_Galfridian_A	L	Character	New Republic Jedi Padawan	8	60	6	6	R	12		As long as you have Luke Skywalker in any arena or your build zone, Finn gets +2 power. | As long as you have Jaina Solo in any arena or your build zone, Finn gets "Pay 1 Force -> Evade 1." | As long as Finn has a Lightsaber Weapon attached, he gets Parry 1 and Fury 2. | Pay 1 build point -> Remove up to 2 damage counters from one of your Droids. Play only during your build step.	
Finn Galfridian (B)	VP	VP013_Finn_Galfridian_B	L	Character	New Republic Jedi Padawan	7	40	4	6	R	13		Each of your opponent's Yuuzhan Vong in the Ground and Character arena gets -10 speed, -1 power, and loses Stealth. | Tap -> Take 1 60/2/3 Prowl Subordinate with "Accuracy 1" and "Damage Control 2" and put it into the Character arena. Play only once per game. | Pay 2 Force -> Evade 2	
Fire Breathers	VP	VP014_Fire_Breathers	Y	Ground	Yuuzhan Vong Creature Walker Squad	10	20	9	7	R	14		Armor | Damage from this unit can only be prevented by a Jedi. | Overkill	
Galfridian Family (A)	VP	VP015_Galfridian_Family_A	L	Ground	Independent Force Sensitive Squad	6	40	5	5	R	15		Hidden Cost 4 | Stack: Caled Galfridian, Finn Galdfridian, Kaye Galfridian, and Nina Galfridian. | Galfridian Family's stack can have 1 extra card in it. | When the battle phase starts, choose an ability on another card in Galfridian Family's stack. Galdfridian Family gets the chosen ability until end of turn.	
Grutchins	VP	VP016_Grutchins	Y	Equipment	Space - Biological Weapon	1				R	16		You can equip Grutchins to your opponent's Space units. Grutchins can't be detached. | Pay 2 build points -> Equip | Equipped Space unit gets "Upkeep: Put 1 damage counter on this unit or tap it." and "When this unit is discarded, remove Grutchins from the game."	
Han Solo (S)	VP	VP017_Han_Solo_S	L	Character	New Republic Officer	7	50	4	5	R	17		Damage Control 2 | Whenever Han would be damaged, prevent up to 2 of that damage if Droma is in any arena. | Transport Pilot. The Transport gets:   - Damage Control 2  - Lucky 2	
Han's Sorrow	VP	VP018_Han_s_Sorrow	L	Mission		1				R	18		Tap one of your Characters. This turn, counters of any type can't be put on that Character, and that Character can't use activated abilities, attack or be attacked.	
Helska Coralskipper Squadron	VP	VP019_Helska_Coralskipper_Squadron	Y	Space	Yuuzhan Vong Squadron	7	50	4	4	R	19		This unit can have up to 2 Pilots. | Stun 2 | This unit can attack Space units with Stealth. | When your build step starts, choose one: This turn gets +1 power and Accuracy 1 until end of turn. Or:  Tap, Pay 1 build point -> Take 1 50/3/2 Coralskipper Subordinate with "Shields 1" and put it into the Space arena.	
Invasion	VP	VP020_Invasion	Y	Event						R	20		Unit deployments can't be disrupted. | Resource effects can't be disrupted. | Resource cards in play can't be discarded.	
Invasion Fleet	VP	VP021_Invasion_Fleet	Y	Space	Yuuzhan Vong Fleet	16	10	15	15	R	21		Units in the Space arena can't retreat. | Units in the Space arena can't use Intercept. | Units in the Space arena can't tap or be tapped during the build step. | Whenever a unit in the Space arena can attack, it must do so. | Whenever a unit is deployed to the Space arena, each player may draw a card.	
Jacen Solo (B)	VP	VP022_Jacen_Solo_B	L	Character	New Republic Jedi Knight	6	40	4	5	R	22		As long as Anakin Solo or Jaina Solo is in any arena, Jacen gets Accuracy 1 and Parry 2. | Tap, Pay 1 Force -> Untap Anakin Solo or Jaina Solo. | Squadron  and Starfighter Pilot. The Squadron or Starfighter gets:  - +10 speed  - Accuracy 1	
Jaina Solo (C)	VP	VP023_Jaina_Solo_C	L	Character	New Republic Jedi Knight	7	60	4	4	R	23		Parry 2 | Pay 1 Force -> Evade 1 | Squadron and Starfighter Pilot. The Squadron or Starfighter gets:  - +30 speed  - Lucky 2  - Pay 1 Force -> Deflect 1	
Jaina's X-wing (C)	VP	VP024_Jaina_s_X_wing_C	L	Space	New Republic Jedi Rogue Starfighter	6	60	3	3	R	24		Precision | Jaina's X-wing gets +2 power when attacking a Capital Ship, Fleet, or Squadron. | Jaina's X-Wing can attack Space units in your opponent's build zone. | Damage from Jaina's X-wing can't be prevented.	
Jedi Breaking	VP	VP025_Jedi_Breaking	Y	Battle						R	25		Tap one of your units with printed build cost X in the Ground or Character arena, remove X cards from your discard pile from the game -> Put damage counters on a damaged Force Sensitive, Jedi or Sith with printed build cost X or less in the Ground or Character arena until that unit has only 1 remaining health.	
Kaye Gilfridian (A)	VP	VP026_Kaye_Galfridian_A	L	Character	Independent Force Sensitive Officer	7	50	4	5	R	26		Critical Hit 2 | Armor | Remove X Character unit cards from your discard pile from the game -> Gain X Force. | Discard a card from your hand -> Evade 2	
Kyp Durron (D)	VP	VP027_Kyp_Durron_D	L	Character	Independent Jedi Master	7	60	5	5	R	27		As long as Kyp has a Lightsaber Weapon attached, he gets Accuracy 1. | Pay 2 Force -> Kyp gets Double Damage when attacking a Yuuzhan Vong until end of turn. | Pay 2 Force -> Kyp gets Fury 3 for this attack. | Pay 2 Force -> Evade 2.	
Kyp's Dozen (A)	VP	VP028_Kyp_s_Dozen_A	L	Space	Independent Jedi Squadron	8	60	6	4	R	28		As long as Kyp Durron is in any arena, Kyp's Dozen gets +1 power and Fury 3. | Pay 3 Force -> Take 1 50/3/2 Kyp's Dozen X-Wing Subordinate with "Pay 0 Force -> Intercept" and put it into the Space arena. Play only when no unit is attacking. | Pay 3 Force -> Untap one of your Starfighter Subordinates. | Pay 2 Force -> Evade 2	
Leia Organa Solo (T)	VP	VP029_Leia_Organa_Solo_T	L	Character	New Republic Officer - Jedi Diplomat	5	40	4	4	R	29		Tap, Pay 1 Force -> Choose one of your opponent's Agents, Diplomats, Spies, Squads, or Squadrons. The chosen unit loses its game text until end of turn. Play only during your build step. | Pay 1 Force -> Evade 1	
Leia's Resolve	VP	VP030_Leia_s_Resolve	L	Mission		2				R	30		To complete Leia's Resolve, you must also tap one of your Diplomats or Jedi in any arena or your build zone. Each of your units gets +2 power when attacking a Yuuzhan Vong until end of turn.	
Light in the Darkness	VP	VP031_Light_in_the_Darkness	L	Battle						R	31		Pay 4 Force -> Choose one of your Light Side units in any arena. The chosen unit gets +2 power, Precision, and Double Strike until end of turn. Play only if the chosen unit is the only unit you have in that arena.	
Luke Skywalker (Y)	VP	VP032_Luke_Skywalker_Y	L	Character	New Republic Jedi Master	11	40	7	9	R	32		Precision | Parry 3 | Luke gets Double Damage when attacking a Yuuzhan Vong. | Pay 1 Force -> Deflect 1	
Luke's Prowess	VP	VP033_Luke_s_Prowess	L	Battle						R	33		Pay 5 Force -> Choose one of your Characters. Whenever the chosen Character would be damaged by an attacking unit this turn, prevent all but 1 of that damage. For each point of damage dealt by an attacking unit that is prevented this way, do 1 damage to each of your opponent's units in the Character arena. Play only if you have Luke Skywalker in the Character arena.	
Mara Jade Skywalker (I)	VP	VP034_Mara_Jade_Skywalker_I	L	Character	New Republic Jedi Master	8	60	4	5	R	34		As long as Luke Skywalker is in any arena, Mara gets Double Damage and Damage Control 2. | Tap -> Remove 1 counter of any type from one of your Characters. Play only during your build step. | Pay 5 Force -> Tap one of your opponent's Yuuzhan Vong in the Character arena. | Pay 2 Force -> Deflect 2 | Pay 1 Force -> Retaliate 2	
Nagme (A)	VP	VP035_Nagme_A	Y	Character	Yuuzhan Vong Master Shaper	6	40	4	4	R	35		Reserves: Tap -> Put 2 corruption counters on one of your opponent's non-Droid Characters. | Reserves: Put X corruption counters on Nagme -> One of your Creatures gets +X power until end of turn. Play only if Nagme has 4 or less corruption counters on her.	
New Republic Army	VP	VP036_New_Republic_Army	L	Ground/Character	New Republic Army	15	30	9	12	R	36		Critical Hit 2 | As long as you have an Officer in any arena, this unit gets  Parry 2. | This unit costs 1 less build counter to deploy for each Yuuzhan Vong your opponent has in the Ground and Character arena. | Overkill	
New Republic Noghri Team	VP	VP037_New_Republic_Noghri_Team	L	Ground	New Republic Noghri Bodyguard Squad	7	30	6	8	R	37		Your opponent's characters can attack this unit. | Whenever one of your opponent's units in the Ground or Character arena would attack one of your Jedi, it must attack one of your Noghri in any arena instead.	
Nina Galfridian (A)	VP	VP038_Nina_Galfridian_A	L	Character	Artorian Queen - Independent Yuuzhan Vong	7	30	4	7	R	38		Damage Control 2 | Tap -> Each of your opponent's Yuuzhan Vong gets -2 power and Accuracy -1 until end of turn. Play only during your build step and only if you have a Refugee in any arena.	
Nina Galfridian (B)	VP	VP039_Nina_Galfridian_B	L	Character	Artorian Queen - Independent Yuuzhan Vong	6	50	4	4	R	39		Stun 3 | Transport and Fleet Pilot. The Transport or Fleet gets:  - +2 health  - Stun 3  - Each of your opponent's Yuuzhan Vong in the Space arena gets -10 speed and loses Stealth.	
Nom Anor (A)	VP	VP040_Nom_Anor_A	Y	Character	Yuuzhan Vong Officer - Agent	8	40	6	5	R	40		Stealth | Nom can attack Characters in your opponent's build zone. | Tap -> Choose one: Disrupt an attack by a non-Jedi. Or: Disrupt a Battle card. Or:  Disrupt a Mission card. Or:  Disrupt a disrupt.	
Outer Rim Alliance Fleet (A)	VP	VP041_Outer_Rim_Alliance_Fleet_A	L	Space	Independent Fleet	11	20	8	10	R	41		Precision | Outer Rim Alliance Fleet gets +1 power for each of your opponent's Yuuzhan Vong in any arena. | INSERT: Overkill	
Qworlth Skaal	VP	VP042_Qworlth_Skaal	Y	Equipment	Space - Biological Weapon	2				R	42		Pay 2 build points -> Equip | Equipped Capital Ship or Fleet gets "During your build step, you may choose a unit in the Space or Ground arena. If you do, drop Qworlth Skaal from at least 30 centimeters above the playing area. If Qworlth Skaal lands so that it touches the chosen unit, put 2 counters of any type on the chosen unit. Then detach Qworlth Skaal from this unit.	
Sgauru (A)	VP	VP043_Sgauru_A	Y	Ground	Yuuzhan Vong Creature Walker Squad	10	50	6	9	R	43		Sgauru gets +X power and Precision when attacking a damaged unit, where X is the number of damage counters on that unit. | Whenever damage from Sgauru causes a unit to be discarded, remove that unit from the game. | As long as Tu-Scart is in the Ground arena, Sgauru gets Armor and Overkill.	
Ska'kel (A)	VP	VP044_Sha_kel_A	Y	Character	Yuuzhan Vong Officer	10	50	5	8	R	44		Armor | Whenever you put 1 or more captivity counters on one of your opponent's units, you may also put 1 damage counter on that unit. | Avenge 3 (Whenever damage from an attacking unit causes one of your other units in the same arena as Ska'kel to be discarded, Ska'kel may do 3 dice of damage to the attacking unit when the attack ends.)	
Solo TIE Fighter Flight (A)	VP	VP045_Solo_TIE_Fighter_Flight_A	L	Space	New Republic Jedi Squadron	7	50	4	5	R	45		Solo TIE Fighter Flight can have up to 3 Pilots. | Accuracy 1 | Critical Hit 2 | Precision | Pay 1 Force -> Evade 3 | Pay 1 Force -> Retaliate 3	
Spinning Backflip	VP	VP046_Spinning_Backflip	L	Battle						R	46		Pay 4 Force -> One of your Characters gets "Damage from this unit can't be prevented." and "This unit can attack Characters with Stealth." for this attack.	
Tsalok (A)	VP	VP047_Tsalok_A	Y	Character	Yuuzhan Vong Officer	8	50	7	5	R	47		When the Character battle step starts, you may put 1 counter of any type on one of your opponent's Characters. If you do, put 1 damage counter on Tsalok. |  Tsalok gets Fury 3 when attacking a damaged unit or a unit with 1 or more captivity counter on it. | Avenge 4 (Whenever damage from an attacking unit causes one of your other units in the same arena as Tsalok to be discarded, Tsalok may do 4 dice of damage to the attacking unit when the attack ends.)	
Tsavong Lah (A)	VP	VP048_Tsavong_Lah_A	Y	Character	Yuuzhan Vong Officer	9	40	8	6	R	48		Fury 3 | Each of your other Yuuzhan Vong gets +2 power and "Whenever this unit attacks and does no damage (after damage prevention), put 2 damage counters on it."	
Tsavong Lah (B)	VP	VP049_Tsavong_Lah_B	Y	Character	Yuuzhan Vong Officer	8	40	7	7	R	49		Each of your other Yuuzhan Vong gets "Bounty: Remove 1 damage counter from this unit." when attacking a Force Sensitive, Jedi, or Sith. | Avenge 3 (Whenever damage from an attacking unit causes one of your other units in the same arena as Tsavong Lah to be discarded, Tsavong Lah may do 3 dice of damage to the attacking unit when the attack ends.)	
